Angle,PA,PA_filtered
-31.14369501466275,,
-30.79178885630498,-49.642931684781274,-49.642931684781274
-30.43988269794721,,
-30.087976539589437,,
-29.736070381231666,,
-29.384164222873896,,
-29.032258064516125,,
-28.680351906158354,,
-28.328445747800583,,
-27.97653958944281,,
-27.62463343108504,,
-27.27272727272727,,
-26.9208211143695,,
-26.568914956011728,,
-26.217008797653957,,
-25.865102639296186,,
-25.513196480938415,,
-25.161290322580644,,
-24.809384164222873,,
-24.457478005865102,,
-24.10557184750733,,
-23.75366568914956,,
-23.40175953079179,,
-23.04985337243402,,
-22.697947214076247,,
-22.346041055718477,,
-21.994134897360706,,
-21.642228739002935,66.8983264669089,66.8983264669089
-21.290322580645164,,
-20.938416422287393,,
-20.586510263929622,,
-20.23460410557185,,
-19.88269794721408,,
-19.53079178885631,,
-19.178885630498538,,
-18.826979472140767,,
-18.475073313782996,,
-18.123167155425225,,
-17.771260997067454,,
-17.419354838709683,,
-17.067448680351912,,
-16.71554252199414,,
-16.36363636363637,,
-16.0117302052786,,
-15.659824046920827,,
-15.307917888563056,,
-14.956011730205285,-74.76814428960623,
-14.604105571847514,,
-14.252199413489743,,
-13.900293255131972,,
-13.548387096774201,,
-13.19648093841643,,
-12.84457478005866,,
-12.492668621700888,,
-12.140762463343117,,
-11.788856304985346,-14.277904974819448,-14.277904974819448
-11.436950146627575,,
-11.085043988269785,-56.33188621526902,-56.33188621526902
-10.733137829912014,,
-10.381231671554243,,
-10.029325513196472,-78.87177261106399,-78.87177261106399
-9.677419354838701,,
-9.32551319648093,,
-8.97360703812316,,
-8.621700879765388,,
-8.269794721407617,,
-7.917888563049846,,
-7.565982404692075,,
-7.214076246334304,,
-6.8621700879765335,,
-6.5102639296187625,,
-6.158357771260992,,
-5.806451612903221,,
-5.45454545454545,,
-5.102639296187679,-76.23740440175295,-76.23740440175295
-4.750733137829908,,
-4.398826979472137,,
-4.046920821114366,78.87429442400432,78.87429442400432
-3.695014662756595,-75.55817774908901,-75.55817774908901
-3.343108504398824,-89.5276792985845,90.4723207014155
-2.991202346041053,88.14858080529363,88.14858080529363
-2.639296187683282,86.97019841485057,86.97019841485057
-2.287390029325511,73.98679888184988,73.98679888184988
-1.9354838709677402,80.64002465930072,80.64002465930072
-1.5835777126099693,84.46018496341004,84.46018496341004
-1.2316715542521983,88.9421895365346,88.9421895365346
-0.8797653958944274,88.90474283529804,88.90474283529804
-0.5278592375366564,82.01154777186147,82.01154777186147
-0.17595307917888547,81.2472744917379,81.2472744917379
0.17595307917888547,,
0.5278592375366564,-10.169474301659307,79.8305256983407
0.8797653958944274,-5.900000594378525,84.09999940562147
1.2316715542521983,-9.289751718811647,80.71024828118836
1.5835777126099693,-12.01222905577129,77.98777094422871
1.9354838709677402,-8.206598716527573,81.79340128347243
2.287390029325511,-12.2407065096184,77.7592934903816
2.639296187683282,-12.061680055441832,77.93831994455817
2.991202346041053,-12.466696399616875,77.53330360038312
3.343108504398824,-15.627541180977609,74.3724588190224
3.695014662756595,-13.674771114509218,76.32522888549079
4.046920821114366,-15.125356927961727,74.87464307203827
4.398826979472137,-19.259669647491247,70.74033035250875
4.750733137829908,-18.985046465606846,71.01495353439316
5.102639296187679,-26.686573135913047,63.31342686408695
5.45454545454545,-29.032453106521185,60.96754689347881
5.806451612903221,-33.60110083096398,56.39889916903602
6.158357771260992,-46.01458974990284,43.98541025009716
6.5102639296187625,-47.18889314713294,42.81110685286706
6.8621700879765335,-42.356662641673324,47.643337358326676
7.214076246334304,-44.95590716067997,45.04409283932003
7.565982404692075,,
7.917888563049846,,
8.269794721407617,-10.600843456882153,-10.600843456882153
8.621700879765388,-9.433992574263499,-9.433992574263499
8.97360703812316,-8.184844339989905,-8.184844339989905
9.32551319648093,-19.4962881512343,-19.4962881512343
9.677419354838701,-27.14581482333055,-27.14581482333055
10.029325513196472,-26.306245459315715,-26.306245459315715
10.381231671554243,-35.91619163688789,-35.91619163688789
10.733137829912014,-36.17672763967445,-36.17672763967445
11.085043988269785,-40.640761950893975,-40.640761950893975
11.436950146627556,-45.433513770382056,-45.433513770382056
11.788856304985327,-47.81300855033965,-47.81300855033965
12.140762463343098,-50.480767747583336,-50.480767747583336
12.492668621700869,-50.58881330340265,-50.58881330340265
12.84457478005864,-56.825468276796116,-56.825468276796116
13.19648093841641,-54.21659269376234,-54.21659269376234
13.548387096774182,-59.01808931134032,-59.01808931134032
13.900293255131952,-58.13057189720655,-58.13057189720655
14.252199413489723,-59.771192509931915,-59.771192509931915
14.604105571847494,-66.62398992370258,-66.62398992370258
14.956011730205265,-60.652514539668914,-60.652514539668914
15.307917888563036,-63.05211085353447,-63.05211085353447
15.659824046920807,-61.67202821664663,-61.67202821664663
16.011730205278578,-66.91045333711251,-66.91045333711251
16.36363636363635,-62.4635131110678,-62.4635131110678
16.71554252199412,-55.59765841570601,-55.59765841570601
17.06744868035189,-60.92612496073437,-60.92612496073437
17.419354838709662,-64.25375827565355,-64.25375827565355
17.771260997067433,-67.0940548850891,-67.0940548850891
18.123167155425204,-71.38690928196381,-71.38690928196381
18.475073313782975,-52.025252377758086,-52.025252377758086
18.826979472140746,-80.91228200073681,-80.91228200073681
19.178885630498517,-58.825430059838254,-58.825430059838254
19.530791788856288,,
19.88269794721406,,
